列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K675	广州东	徐州	0:14	0:20
快速	过K136	南通	昆明	1:27	1:31
快速	过K1218	南昌	宁波	1:50	1:53
快速	过K677	徐州	广州东	2:18	2:21
快速	过K138	昆明	南通	2:41	2:44
高速动车	过G7772	安庆	合肥南	7:32	7:34
高速动车	过G7150	安庆	上海虹桥	7:38	7:40
高速动车	过G7771	合肥南	安庆	7:50	7:52
高速动车	过G7170	池州	上海虹桥	7:55	7:57
高速动车	过G7594	安庆	温州南	8:11	8:13
高速动车	过G7773	合肥南	安庆	8:16	8:18
高速动车	过G7722	安庆	界首南	8:21	8:23
高速动车	过G7074	安庆	上海	9:03	9:05
高速动车	过G7072	上海	安庆	9:17	9:19
高速动车	过G7408	安庆	杭州东	9:23	9:25
高速动车	过G7774	安庆	合肥南	9:41	9:43
高速动车	过G7076	上海	安庆	9:47	9:49
高速动车	过G7078	安庆	上海	9:51	9:53
动车组	过D5602	安庆	南京南	10:01	10:03
高速动车	过G7775	合肥南	安庆	10:04	10:05
动车组	过D5601	南京南	安庆	10:24	10:26
高速动车	过G7721	界首南	安庆	10:37	10:39
高速动车	过G162	安庆	北京南	10:49	10:51
高速动车	过G7080	上海	安庆	11:08	11:10
高速动车	过G7134	安庆	上海虹桥	11:17	11:19
高速动车	过G7082	安庆	上海	11:41	11:43
高速动车	过G7776	安庆	合肥南	11:51	11:53
高速动车	过G7084	上海	安庆	12:03	12:05
动车组	过D5604	安庆	南京南	12:06	12:08
高速动车	过G7777	合肥南	安庆	12:15	12:17
高速动车	过G7492	金华	安庆	12:33	12:35
高速动车	过G7132	上海虹桥	安庆	12:50	12:52
高速动车	过G7138	安庆	上海虹桥	12:58	13:00
高速动车	过G3158	西安北	安庆	13:13	13:15
动车组	过D5603	南京南	安庆	13:23	13:25
高速动车	过G7142	安庆	上海虹桥	13:49	13:51
高速动车	过G7742	安庆	亳州南	13:59	14:01
高速动车	过G7136	上海虹桥	安庆	13:59	14:01
高速动车	过G7060	上海	安庆	14:09	14:11
高速动车	过G7778	安庆	合肥南	14:21	14:23
高速动车	过G7779	合肥南	安庆	14:24	14:26
高速动车	过G7146	安庆	上海虹桥	14:33	14:35
快速	过K1192	南宁	南京	14:37	14:40
动车组	过D5605	南京南	安庆	14:53	14:55
高速动车	过G7723	界首南	安庆	15:03	15:06
动车组	过D5606	安庆	南京南	15:06	15:08
高速动车	过G7402	宁波	安庆	15:30	15:32
高速动车	过G7494	安庆	衢州	15:51	15:53
高速动车	过G7086	安庆	上海	16:02	16:04
高速动车	过G7088	上海	安庆	16:04	16:06
高速动车	过G7780	安庆	合肥南	16:12	16:14
高速动车	过G3156	安庆	西安北	16:22	16:24
动车组	过D5622	安庆	南京南	16:34	16:36
高速动车	过G7781	合肥南	安庆	16:36	16:38
动车组	过D5608	安庆	南京南	16:44	16:46
高速动车	过G7424	安庆	合肥南	16:56	16:58
高速动车	过G7092	上海	安庆	17:11	17:13
高速动车	过G7404	安庆	杭州东	17:15	17:17
高速动车	过G7090	安庆	上海	17:52	17:54
快速	过K1556	上海	南宁	18:03	18:06
动车组	终D5607	南京南	铜陵	18:13	-
高速动车	过G7140	上海虹桥	安庆	18:21	18:23
动车组	始D5610	铜陵	南京南	-	18:33
高速动车	过G7782	安庆	合肥南	18:41	18:43
高速动车	过G7741	亳州南	安庆	18:41	18:43
高速动车	过G7783	合肥南	安庆	18:52	18:54
高速动车	过G7168	上海虹桥	池州	19:17	19:19
高速动车	过G7094	安庆	上海	19:29	19:31
动车组	过D5609	南京南	安庆	19:44	19:46
高速动车	过G7406	杭州东	安庆	19:59	20:01
高速动车	过G7592	温州南	安庆	20:09	20:11
高速动车	过G7744	安庆	阜阳西	20:29	20:31
高速动车	过G7144	上海虹桥	安庆	20:34	20:36
高速动车	过G7784	安庆	合肥南	20:39	20:41
高速动车	过G7743	亳州南	安庆	21:01	21:03
高速动车	过G161	北京南	安庆	21:12	21:14
高速动车	过G7785	合肥南	安庆	21:25	21:27
快速	过K1558	南宁	上海	21:32	21:35
高速动车	过G7786	安庆	合肥南	21:35	21:37
快速	过K782	上海	萍乡	21:48	21:51
高速动车	过G7272	上海	安庆	21:58	22:00
快速	过K1220	宁波	南昌	22:48	22:51
快速	过K1191	南京	南宁	23:11	23:16
